sample_index,gap_group,card_id,name,set_id,set_name,card_number,rarity,source_names,release_date,release_bucket,card_class,stratum,notes
77,eur_only,pokemon:en:lc:108,Bill,lc,Legendary Collection,108,Common,cardmarket,2002-05-24,legacy,standard,legacy:standard,
78,eur_only,pokemon:en:sv04.5:225,Palafin,sv04.5,Paldean Fates,225,Illustration rare,cardmarket,2024-01-26,recent,alt_art,recent:alt_art,
79,eur_only,pokemon:en:sv04.5:014,Charcadet,sv04.5,Paldean Fates,014,Common,cardmarket,2024-01-26,recent,standard,recent:standard,
80,eur_only,pokemon:en:swsh4.5:64,Alcremie V,swsh4.5,Shining Fates,64,Ultra Rare,cardmarket,2021-02-19,modern,alt_art,modern:alt_art,
81,eur_only,pokemon:en:swsh3.5:21,Galarian Cursola V,swsh3.5,Champion's Path,21,Holo Rare V,cardmarket,2020-09-25,modern,standard,modern:standard,
82,eur_only,pokemon:en:lc:109,Mysterious Fossil,lc,Legendary Collection,109,Common,cardmarket,2002-05-24,legacy,standard,legacy:standard,
83,eur_only,pokemon:en:sv04.5:226,Pawmi,sv04.5,Paldean Fates,226,Illustration rare,cardmarket,2024-01-26,recent,alt_art,recent:alt_art,
84,eur_only,pokemon:en:sv04.5:015,Armarouge,sv04.5,Paldean Fates,015,Rare,cardmarket,2024-01-26,recent,standard,recent:standard,
85,eur_only,pokemon:en:swsh4.5:65,Ball Guy,swsh4.5,Shining Fates,65,Ultra Rare,cardmarket,2021-02-19,modern,alt_art,modern:alt_art,
86,eur_only,pokemon:en:swsh3.5:22,Alcremie V,swsh3.5,Champion's Path,22,Holo Rare V,cardmarket,2020-09-25,modern,standard,modern:standard,
87,eur_only,pokemon:en:lc:11,Gengar,lc,Legendary Collection,11,Rare,cardmarket,2002-05-24,legacy,standard,legacy:standard,
88,eur_only,pokemon:en:sv04.5:227,Clive,sv04.5,Paldean Fates,227,Ultra Rare,cardmarket,2024-01-26,recent,alt_art,recent:alt_art,
89,eur_only,pokemon:en:sv04.5:016,Lapras,sv04.5,Paldean Fates,016,Common,cardmarket,2024-01-26,recent,standard,recent:standard,
90,eur_only,pokemon:en:swsh4.5:66,Bird Keeper,swsh4.5,Shining Fates,66,Ultra Rare,cardmarket,2021-02-19,modern,alt_art,modern:alt_art,
91,eur_only,pokemon:en:swsh3.5:23,Alcremie VMAX,swsh3.5,Champion's Path,23,Holo Rare VMAX,cardmarket,2020-09-25,modern,standard,modern:standard,
92,eur_only,pokemon:en:lc:110,Potion,lc,Legendary Collection,110,Common,cardmarket,2002-05-24,legacy,standard,legacy:standard,
93,eur_only,pokemon:en:sv04.5:228,Judge,sv04.5,Paldean Fates,228,Ultra Rare,cardmarket,2024-01-26,recent,alt_art,recent:alt_art,
94,eur_only,pokemon:en:sv04.5:017,Frigibax,sv04.5,Paldean Fates,017,Common,cardmarket,2024-01-26,recent,standard,recent:standard,
95,eur_only,pokemon:en:swsh4.5:67,Cara Liss,swsh4.5,Shining Fates,67,Ultra Rare,cardmarket,2021-02-19,modern,alt_art,modern:alt_art,
96,eur_only,pokemon:en:swsh3.5:24,Machop,swsh3.5,Champion's Path,24,Common,cardmarket,2020-09-25,modern,standard,modern:standard,
97,eur_only,pokemon:en:lc:12,Gyarados,lc,Legendary Collection,12,Rare,cardmarket,2002-05-24,legacy,standard,legacy:standard,
98,eur_only,pokemon:en:sv04.5:229,Nemona,sv04.5,Paldean Fates,229,Ultra Rare,cardmarket,2024-01-26,recent,alt_art,recent:alt_art,
99,eur_only,pokemon:en:sv04.5:018,Pikachu,sv04.5,Paldean Fates,018,Common,cardmarket,2024-01-26,recent,standard,recent:standard,
100,eur_only,pokemon:en:swsh4.5:68,Gym Trainer,swsh4.5,Shining Fates,68,Ultra Rare,cardmarket,2021-02-19,modern,alt_art,modern:alt_art,
101,missing,pokemon:en:svp:047,Charmander,svp,SVP Black Star Promos,047,None,,2023-03-31,modern,promo,modern:promo,screenshot-example
102,missing,pokemon:en:P-A:001,Potion,P-A,Promos-A,001,None,,2024-10-30,recent,promo,recent:promo,
103,missing,pokemon:en:A1:001,Bulbasaur,A1,Genetic Apex,001,One Diamond,,2024-10-30,recent,standard,recent:standard,
104,missing,pokemon:en:svp:001,Sprigatito,svp,SVP Black Star Promos,001,None,,2023-03-31,modern,promo,modern:promo,
105,missing,pokemon:en:sv02:227,Flamigo,sv02,Paldea Evolved,227,Illustration rare,,2023-06-09,modern,alt_art,modern:alt_art,
106,missing,pokemon:en:fut2020:1,Pikachu on the Ball,fut2020,Pokémon Futsal 2020,1,None,,2020-09-11,modern,standard,modern:standard,
107,missing,pokemon:en:basep:1,Pikachu,basep,Wizards Black Star Promos,1,Common,,1999-07-01,legacy,promo,legacy:promo,
108,missing,pokemon:en:pop5:16,Espeon ★,pop5,POP Series 5,16,Ultra Rare,,2007-03-01,legacy,alt_art,legacy:alt_art,
109,missing,pokemon:en:lc:82,Nidoran♀,lc,Legendary Collection,82,Common,,2002-05-24,legacy,standard,legacy:standard,
110,missing,pokemon:en:P-A:002,X Speed,P-A,Promos-A,002,None,,2024-10-30,recent,promo,recent:promo,
111,missing,pokemon:en:A1:002,Ivysaur,A1,Genetic Apex,002,Two Diamond,,2024-10-30,recent,standard,recent:standard,
112,missing,pokemon:en:svp:002,Fuecoco,svp,SVP Black Star Promos,002,None,,2023-03-31,modern,promo,modern:promo,
113,missing,pokemon:en:fut2020:2,Eevee on the Ball,fut2020,Pokémon Futsal 2020,2,None,,2020-09-11,modern,standard,modern:standard,
114,missing,pokemon:en:basep:32,Smeargle,basep,Wizards Black Star Promos,32,Common,,1999-07-01,legacy,promo,legacy:promo,
115,missing,pokemon:en:pop5:17,Umbreon ★,pop5,POP Series 5,17,Ultra Rare,,2007-03-01,legacy,alt_art,legacy:alt_art,
116,missing,pokemon:en:lc:83,Nidoran♂,lc,Legendary Collection,83,Common,,2002-05-24,legacy,standard,legacy:standard,
117,missing,pokemon:en:P-A:003,Hand Scope,P-A,Promos-A,003,None,,2024-10-30,recent,promo,recent:promo,
118,missing,pokemon:en:A1:003,Venusaur,A1,Genetic Apex,003,Three Diamond,,2024-10-30,recent,standard,recent:standard,
119,missing,pokemon:en:svp:003,Quaxly,svp,SVP Black Star Promos,003,None,,2023-03-31,modern,promo,modern:promo,
120,missing,pokemon:en:fut2020:3,Grookey on the Ball,fut2020,Pokémon Futsal 2020,3,None,,2020-09-11,modern,standard,modern:standard,
121,missing,pokemon:en:np:23,Metang,np,Nintendo Black Star Promos,23,Common,,2003-10-01,legacy,promo,legacy:promo,
122,missing,pokemon:en:ex7:107,Mudkip Star,ex7,Team Rocket Returns,107,Rare,,2004-11-01,legacy,standard,legacy:standard,
123,missing,pokemon:en:P-A:004,Pokédex,P-A,Promos-A,004,None,,2024-10-30,recent,promo,recent:promo,
124,missing,pokemon:en:A1:004,Venusaur ex,A1,Genetic Apex,004,Four Diamond,,2024-10-30,recent,standard,recent:standard,
125,missing,pokemon:en:svp:004,Mimikyu ex,svp,SVP Black Star Promos,004,None,,2023-03-31,modern,promo,modern:promo,
126,missing,pokemon:en:fut2020:4,Scorbunny on the Ball,fut2020,Pokémon Futsal 2020,4,None,,2020-09-11,modern,standard,modern:standard,
127,missing,pokemon:en:np:27,Tropical Tidal Wave,np,Nintendo Black Star Promos,27,Common,,2003-10-01,legacy,promo,legacy:promo,
128,missing,pokemon:en:xy3:55a,M Lucario EX,xy3,Furious Fists,55a,Rare,,2014-08-13,legacy,standard,legacy:standard,
129,missing,pokemon:en:P-A:005,Poké Ball,P-A,Promos-A,005,None,,2024-10-30,recent,promo,recent:promo,
130,missing,pokemon:en:A1:005,Caterpie,A1,Genetic Apex,005,One Diamond,,2024-10-30,recent,standard,recent:standard,
131,missing,pokemon:en:svp:005,Quaquaval,svp,SVP Black Star Promos,005,None,,2023-03-31,modern,promo,modern:promo,
132,missing,pokemon:en:fut2020:5,Sobble on the Ball,fut2020,Pokémon Futsal 2020,5,None,,2020-09-11,modern,standard,modern:standard,
133,missing,pokemon:en:np:28,Championship Arena,np,Nintendo Black Star Promos,28,Common,,2003-10-01,legacy,promo,legacy:promo,
134,missing,pokemon:en:xy4:24a,M Manectric EX,xy4,Phantom Forces,24a,Rare,,2014-11-05,legacy,standard,legacy:standard,
135,missing,pokemon:en:P-A:006,Red Card,P-A,Promos-A,006,None,,2024-10-30,recent,promo,recent:promo,
136,missing,pokemon:en:A1:006,Metapod,A1,Genetic Apex,006,One Diamond,,2024-10-30,recent,standard,recent:standard,
137,missing,pokemon:en:svp:006,Pawmot,svp,SVP Black Star Promos,006,None,,2023-03-31,modern,promo,modern:promo,
138,missing,pokemon:en:swsh3.5:62,Professor's Research (Professor Magnolia),swsh3.5,Champion's Path,62,Holo Rare,,2020-09-25,modern,standard,modern:standard,
139,missing,pokemon:en:np:36,Tropical Tidal Wave,np,Nintendo Black Star Promos,36,Common,,2003-10-01,legacy,promo,legacy:promo,
140,missing,pokemon:en:sm4:63a,Guzzlord-GX,sm4,Crimson Invasion,63a,Rare,,2017-11-03,legacy,standard,legacy:standard,
141,missing,pokemon:en:P-A:007,Professor's Research,P-A,Promos-A,007,None,,2024-10-30,recent,promo,recent:promo,
142,missing,pokemon:en:A1:007,Butterfree,A1,Genetic Apex,007,Three Diamond,,2024-10-30,recent,standard,recent:standard,
143,missing,pokemon:en:svp:007,Hawlucha,svp,SVP Black Star Promos,007,None,,2023-03-31,modern,promo,modern:promo,
144,missing,pokemon:en:swsh4.5:58,Boss's Orders (Lysandre),swsh4.5,Shining Fates,58,Rare,,2021-02-19,modern,standard,modern:standard,
145,missing,pokemon:en:np:5,Mudkip,np,Nintendo Black Star Promos,5,Common,,2003-10-01,legacy,promo,legacy:promo,
146,missing,pokemon:en:P-A:008,Pokédex,P-A,Promos-A,008,None,,2024-10-30,recent,promo,recent:promo,
147,missing,pokemon:en:A1:008,Weedle,A1,Genetic Apex,008,One Diamond,,2024-10-30,recent,standard,recent:standard,
148,missing,pokemon:en:svp:008,Revavroom,svp,SVP Black Star Promos,008,None,,2023-03-31,modern,promo,modern:promo,
149,missing,pokemon:en:swsh4.5:60,Professor's Research (Professor Juniper),swsh4.5,Shining Fates,60,Rare,,2021-02-19,modern,standard,modern:standard,
150,missing,pokemon:en:np:6,Torchic,np,Nintendo Black Star Promos,6,Common,,2003-10-01,legacy,promo,legacy:promo,
151,missing,pokemon:en:P-A:009,Pikachu,P-A,Promos-A,009,None,,2024-10-30,recent,promo,recent:promo,
152,missing,pokemon:en:A1:009,Kakuna,A1,Genetic Apex,009,One Diamond,,2024-10-30,recent,standard,recent:standard,
153,missing,pokemon:en:svp:009,Spidops,svp,SVP Black Star Promos,009,None,,2023-03-31,modern,promo,modern:promo,
154,missing,pokemon:en:np:7,Treecko,np,Nintendo Black Star Promos,7,Common,,2003-10-01,legacy,promo,legacy:promo,
155,missing,pokemon:en:P-A:010,Mewtwo,P-A,Promos-A,010,None,,2024-10-30,recent,promo,recent:promo,
156,missing,pokemon:en:A1:010,Beedrill,A1,Genetic Apex,010,Three Diamond,,2024-10-30,recent,standard,recent:standard,
157,missing,pokemon:en:svp:010,Espathra,svp,SVP Black Star Promos,010,None,,2023-03-31,modern,promo,modern:promo,
158,missing,pokemon:en:dpp:DP05,Tropical Wind,dpp,DP Black Star Promos,DP05,Common,,2007-05-01,legacy,promo,legacy:promo,
159,missing,pokemon:en:P-A:011,Chansey,P-A,Promos-A,011,None,,2024-10-30,recent,promo,recent:promo,
160,missing,pokemon:en:A1:011,Oddish,A1,Genetic Apex,011,One Diamond,,2024-10-30,recent,standard,recent:standard,
161,missing,pokemon:en:svp:011,Arcanine,svp,SVP Black Star Promos,011,None,,2023-03-31,modern,promo,modern:promo,
162,missing,pokemon:en:dpp:DP25,Tropical Wind,dpp,DP Black Star Promos,DP25,Common,,2007-05-01,legacy,promo,legacy:promo,
163,missing,pokemon:en:P-A:012,Meowth,P-A,Promos-A,012,None,,2024-10-30,recent,promo,recent:promo,
164,missing,pokemon:en:A1:012,Gloom,A1,Genetic Apex,012,Two Diamond,,2024-10-30,recent,standard,recent:standard,
165,missing,pokemon:en:svp:012,Dondozo,svp,SVP Black Star Promos,012,None,,2023-03-31,modern,promo,modern:promo,
166,missing,pokemon:en:dpp:DP54,Beginning Door,dpp,DP Black Star Promos,DP54,Common,,2007-05-01,legacy,promo,legacy:promo,
167,missing,pokemon:en:P-A:013,Butterfree,P-A,Promos-A,013,None,,2024-10-30,recent,promo,recent:promo,
168,missing,pokemon:en:A1:013,Vileplume,A1,Genetic Apex,013,Three Diamond,,2024-10-30,recent,standard,recent:standard,
169,missing,pokemon:en:svp:013,Miraidon,svp,SVP Black Star Promos,013,None,,2023-03-31,modern,promo,modern:promo,
170,missing,pokemon:en:dpp:DP55,Ultimate Zone,dpp,DP Black Star Promos,DP55,Common,,2007-05-01,legacy,promo,legacy:promo,
171,missing,pokemon:en:P-A:014,Lapras ex,P-A,Promos-A,014,None,,2024-10-30,recent,promo,recent:promo,
172,missing,pokemon:en:A1:014,Paras,A1,Genetic Apex,014,One Diamond,,2024-10-30,recent,standard,recent:standard,
173,missing,pokemon:en:svp:014,Koraidon,svp,SVP Black Star Promos,014,None,,2023-03-31,modern,promo,modern:promo,
174,missing,pokemon:en:hgssp:HGSS01,Ho-Oh,hgssp,HGSS Black Star Promos,HGSS01,Common,,2010-02-11,legacy,promo,legacy:promo,
175,missing,pokemon:en:P-A:015,Pikachu,P-A,Promos-A,015,None,,2024-10-30,recent,promo,recent:promo,
176,missing,pokemon:en:A1:015,Parasect,A1,Genetic Apex,015,Two Diamond,,2024-10-30,recent,standard,recent:standard,
177,missing,pokemon:en:svp:015,Flaaffy,svp,SVP Black Star Promos,015,None,,2023-03-31,modern,promo,modern:promo,
178,missing,pokemon:en:hgssp:HGSS02,Lugia,hgssp,HGSS Black Star Promos,HGSS02,Common,,2010-02-11,legacy,promo,legacy:promo,
179,missing,pokemon:en:P-A:016,Clefairy,P-A,Promos-A,016,None,,2024-10-30,recent,promo,recent:promo,
180,missing,pokemon:en:A1:016,Venonat,A1,Genetic Apex,016,One Diamond,,2024-10-30,recent,standard,recent:standard,
181,missing,pokemon:en:svp:016,Ampharos ex,svp,SVP Black Star Promos,016,None,,2023-03-31,modern,promo,modern:promo,
182,missing,pokemon:en:hgssp:HGSS03,Pikachu,hgssp,HGSS Black Star Promos,HGSS03,Common,,2010-02-11,legacy,promo,legacy:promo,
183,missing,pokemon:en:P-A:017,Mankey,P-A,Promos-A,017,None,,2024-10-30,recent,promo,recent:promo,
184,missing,pokemon:en:A1:017,Venomoth,A1,Genetic Apex,017,Two Diamond,,2024-10-30,recent,standard,recent:standard,
185,missing,pokemon:en:svp:017,Lucario ex,svp,SVP Black Star Promos,017,None,,2023-03-31,modern,promo,modern:promo,
186,missing,pokemon:en:hgssp:HGSS04,Wobbuffet,hgssp,HGSS Black Star Promos,HGSS04,Common,,2010-02-11,legacy,promo,legacy:promo,
187,missing,pokemon:en:P-A:018,Venusaur,P-A,Promos-A,018,None,,2024-10-30,recent,promo,recent:promo,
188,missing,pokemon:en:A1:018,Bellsprout,A1,Genetic Apex,018,One Diamond,,2024-10-30,recent,standard,recent:standard,
189,missing,pokemon:en:svp:018,Cyclizar ex,svp,SVP Black Star Promos,018,None,,2023-03-31,modern,promo,modern:promo,
190,missing,pokemon:en:hgssp:HGSS05,Hoothoot,hgssp,HGSS Black Star Promos,HGSS05,Common,,2010-02-11,legacy,promo,legacy:promo,
191,missing,pokemon:en:P-A:019,Greninja,P-A,Promos-A,019,None,,2024-10-30,recent,promo,recent:promo,
